UID,Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
1,TRN,NAME,TWTF14,ON,1,0,"{}"
2,BRN,NAME,BRN46,ON,2,0,"{}"
3,BRN,NAME,BRN69,ON,3,0,"{}"
4,LOAD,NAME,LOAD6,ON,4.1,0,"{}"
5,TRN,NAME,TWTF39,ON,4,0,"{}"
6,GEN,NAME,GEN3,ON,5,0,"{}"
7,BRN,NAME,BRN89,ON,10,0,"{}"
8,BRN,NAME,BRN78,ON,11,0,"{}"
9,TRN,NAME,TWTF27,ON,12,0,"{}"
10,GEN,NAME,GEN3,UPDATE,12.5,0,"{'P':90}"
11,GEN,NAME,GEN2,ON,13,0,"{}"
12,BRN,NAME,BRN57,ON,18,0,"{}"
13,BRN,NAME,BRN45,ON,19,0,"{}"
14,LOAD,NAME,LOAD5,ON,20,0,"{}"
15,LOAD,NAME,LOAD8,ON,23,0,"{}"
