Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,1,0,{}
BRN,NAME,BRN4_9,ON,3,0,{}
BRN,NAME,BRN8_9,ON,5,0,{}
TRN,NAME,TWTF2_8,ON,18,0,{}
LOAD,NAME,LOAD2,ON,18,0,{}
GEN,NAME,GEN2,ON,8,0,{}
GEN,NAME,GEN1,UPDATE,8,0,{'P': 20}
BRN,NAME,BRN4_5,ON,9,0,{}
LOAD,NAME,LOAD5,ON,9.016667,0,{}
GEN,NAME,GEN1,UPDATE,9,0,{'P': 40}
BRN,NAME,BRN7_8,ON,11,0,{}
BRN,NAME,BRN6_7,ON,13,0,{}
BRN,NAME,BRN5_6,ON,15,0,{}
TRN,NAME,TWTF3_6,ON,17,0,{}
LOAD,NAME,LOAD7,ON,18,0,{}
GEN,NAME,GEN1,UPDATE,18,0,{'P': 37}
GEN,NAME,GEN2,UPDATE,18,0,{'P': 3}
GEN,NAME,GEN1,UPDATE,19,0,{'P': 31}
GEN,NAME,GEN2,UPDATE,19,0,{'P': 9}
GEN,NAME,GEN1,UPDATE,20,0,{'P': 25}
GEN,NAME,GEN2,UPDATE,20,0,{'P': 15}
GEN,NAME,GEN1,UPDATE,21,0,{'P': 19}
GEN,NAME,GEN2,UPDATE,21,0,{'P': 21}
GEN,NAME,GEN1,UPDATE,22,0,{'P': 13}
GEN,NAME,GEN2,UPDATE,22,0,{'P': 27}
GEN,NAME,GEN3,ON,23,0,{}
GEN,NAME,GEN1,UPDATE,23,0,{'P': 47}
GEN,NAME,GEN2,UPDATE,23,0,{'P': 33}
GEN,NAME,GEN1,UPDATE,24,0,{'P': 41}
GEN,NAME,GEN2,UPDATE,24,0,{'P': 39}
GEN,NAME,GEN1,UPDATE,25,0,{'P': 35}
GEN,NAME,GEN2,UPDATE,25,0,{'P': 45}
LOAD,NAME,LOAD6,ON,26,0,{}
GEN,NAME,GEN1,UPDATE,26,0,{'P': 59}
GEN,NAME,GEN2,UPDATE,26,0,{'P': 51}
GEN,NAME,GEN1,UPDATE,27,0,{'P': 53}
GEN,NAME,GEN2,UPDATE,27,0,{'P': 57}
GEN,NAME,GEN1,UPDATE,28,0,{'P': 47}
GEN,NAME,GEN2,UPDATE,28,0,{'P': 63}
LOAD,NAME,LOAD8,ON,29,0,{}
GEN,NAME,GEN1,UPDATE,29,0,{'P': 48.5}
GEN,NAME,GEN2,UPDATE,29,0,{'P': 69}
GEN,NAME,GEN3,UPDATE,29,0,{'P': 2.5}
GEN,NAME,GEN1,UPDATE,30,0,{'P': 37.5}
GEN,NAME,GEN2,UPDATE,30,0,{'P': 75}
GEN,NAME,GEN3,UPDATE,30,0,{'P': 7.5}
LOAD,NAME,LOAD4,ON,31,0,{}
GEN,NAME,GEN1,UPDATE,31,0,{'P': 51.5}
GEN,NAME,GEN2,UPDATE,31,0,{'P': 81}
GEN,NAME,GEN3,UPDATE,31,0,{'P': 12.5}
GEN,NAME,GEN1,UPDATE,32,0,{'P': 40.5}
GEN,NAME,GEN2,UPDATE,32,0,{'P': 87}
GEN,NAME,GEN3,UPDATE,32,0,{'P': 17.5}
GEN,NAME,GEN1,UPDATE,33,0,{'P': 29.5}
GEN,NAME,GEN2,UPDATE,33,0,{'P': 93}
GEN,NAME,GEN3,UPDATE,33,0,{'P': 22.5}
GEN,NAME,GEN1,UPDATE,34,0,{'P': 18.5}
GEN,NAME,GEN2,UPDATE,34,0,{'P': 99}
GEN,NAME,GEN3,UPDATE,34,0,{'P': 27.5}
GEN,NAME,GEN1,UPDATE,35,0,{'P': 12.5}
GEN,NAME,GEN2,UPDATE,35,0,{'P': 100}
GEN,NAME,GEN3,UPDATE,35,0,{'P': 32.5}
GEN,NAME,GEN1,UPDATE,36,0,{'P': 7.5}
GEN,NAME,GEN3,UPDATE,36,0,{'P': 37.5}
GEN,NAME,GEN1,UPDATE,37,0,{'P': 2.5}
GEN,NAME,GEN3,UPDATE,37,0,{'P': 42.5}
LOAD,NAME,LOAD9,ON,38,0,{}
GEN,NAME,GEN1,UPDATE,38,0,{'P': 57.5}
GEN,NAME,GEN3,UPDATE,38,0,{'P': 47.5}
GEN,NAME,GEN1,UPDATE,39,0,{'P': 52.5}
GEN,NAME,GEN3,UPDATE,39,0,{'P': 52.5}
GEN,NAME,GEN1,UPDATE,40,0,{'P': 47.5}
GEN,NAME,GEN3,UPDATE,40,0,{'P': 57.5}
