Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4B,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 8}
LOAD,NAME,LOAD4A,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 13}
BRN,NAME,BRN4_5,ON,6,0,{}
BESS,NAME,BESS5,ON,6.016666667,0,{}
LOAD,NAME,LOAD5C,ON,8,0,{}
GEN,NAME,GEN1,UPDATE,8.016666667,0,{'P': 37.3027}
BESS,NAME,BESS5,UPDATE,8.033333333,0,{'P': -9.3027}
BRN,NAME,BRN5_6,ON,10,0,{}
LOAD,NAME,LOAD5D,ON,10.01666667,0,{}
GEN,NAME,GEN1,UPDATE,10.03333333,0,{'P': 43.0339}
BESS,NAME,BESS5,UPDATE,10.05,0,{'P': -2.0339}
LOAD,NAME,LOAD5B,ON,12,0,{}
GEN,NAME,GEN1,UPDATE,12.01666667,0,{'P': 49.9278}
BESS,NAME,BESS5,UPDATE,12.03333333,0,{'P': 3.0722}
