Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4C,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 10}
LOAD,NAME,LOAD4B,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 18}
BRN,NAME,BRN4_9,ON,6,0,{}
LOAD,NAME,LOAD9D,ON,6.016666667,0,{}
GEN,NAME,GEN1,UPDATE,6.033333333,0,{'P': 34}
LOAD,NAME,LOAD9A,ON,8,0,{}
GEN,NAME,GEN1,UPDATE,8.016666667,0,{'P': 49}
BRN,NAME,BRN8_9,ON,10,0,{}
LOAD,NAME,LOAD8B,ON,10.01666667,0,{}
GEN,NAME,GEN1,UPDATE,10.03333333,0,{'P': 62}
LOAD,NAME,LOAD8D,ON,12,0,{}
GEN,NAME,GEN1,UPDATE,12.01666667,0,{'P': 74}
TRN,NAME,TWTF2_8,ON,14,0,{}
LOAD,NAME,LOAD9C,ON,14.01666667,0,{}
GEN,NAME,GEN1,UPDATE,14.03333333,0,{'P': 84}
LOAD,NAME,LOAD8C,ON,16,0,{}
GEN,NAME,GEN2,ON,16.01666667,0,{}
GEN,NAME,GEN1,UPDATE,16.03333333,0,{'P': 102.6}
BRN,NAME,BRN4_5,ON,18,0,{}
LOAD,NAME,LOAD5C,ON,18.01666667,0,{}
GEN,NAME,GEN1,UPDATE,18.03333333,0,{'P': 117.6}
LOAD,NAME,LOAD5D,ON,20,0,{}
GEN,NAME,GEN1,UPDATE,20.01666667,0,{'P': 101.8}
GEN,NAME,GEN2,UPDATE,20.03333333,0,{'P': 19.2}
BRN,NAME,BRN5_6,ON,22,0,{}
LOAD,NAME,LOAD5B,ON,22.01666667,0,{}
GEN,NAME,GEN1,UPDATE,22.03333333,0,{'P': 75.4}
GEN,NAME,GEN2,UPDATE,22.05,0,{'P': 57.6}
LOAD,NAME,LOAD6A,ON,24,0,{}
GEN,NAME,GEN1,UPDATE,24.01666667,0,{'P': 47}
GEN,NAME,GEN2,UPDATE,24.03333333,0,{'P': 96}
TRN,NAME,TWTF3_6,ON,26,0,{}
LOAD,NAME,LOAD6B,ON,26.01666667,0,{}
GEN,NAME,GEN1,UPDATE,26.03333333,0,{'P': 18.6}
GEN,NAME,GEN2,UPDATE,26.05,0,{'P': 134.4}
LOAD,NAME,LOAD6C,ON,28,0,{}
GEN,NAME,GEN3,ON,28.01666667,0,{}
GEN,NAME,GEN2,UPDATE,28.03333333,0,{'P': 166.84}
BRN,NAME,BRN7_8,ON,30,0,{}
LOAD,NAME,LOAD7A,ON,30.01666667,0,{}
GEN,NAME,GEN2,UPDATE,30.03333333,0,{'P': 182.84}
LOAD,NAME,LOAD7B,ON,32,0,{}
GEN,NAME,GEN2,UPDATE,32.01666667,0,{'P': 187.6}
GEN,NAME,GEN3,UPDATE,32.03333333,0,{'P': 6.4}
BRN,NAME,BRN6_7,ON,34,0,{}
LOAD,NAME,LOAD5A,ON,34.01666667,0,{}
GEN,NAME,GEN2,UPDATE,34.03333333,0,{'P': 181.8}
GEN,NAME,GEN3,UPDATE,34.05,0,{'P': 19.2}
LOAD,NAME,LOAD9B,ON,36,0,{}
GEN,NAME,GEN2,UPDATE,36.01666667,0,{'P': 175}
GEN,NAME,GEN3,UPDATE,36.03333333,0,{'P': 32}
LOAD,NAME,LOAD8A,ON,38,0,{}
GEN,NAME,GEN2,UPDATE,38.01666667,0,{'P': 165.2}
GEN,NAME,GEN3,UPDATE,38.03333333,0,{'P': 44.8}
LOAD,NAME,LOAD4A,ON,40,0,{}
GEN,NAME,GEN2,UPDATE,40.01666667,0,{'P': 157.4}
GEN,NAME,GEN3,UPDATE,40.03333333,0,{'P': 57.6}
