Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4B,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 8}
LOAD,NAME,LOAD4A,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 13}
BRN,NAME,BRN4_5,ON,6,0,{}
LOAD,NAME,LOAD5D,ON,6.016666667,0,{}
BESS,NAME,BESS5,ON,6.033333333,0,{}
GEN,NAME,GEN1,UPDATE,6.05,0,{'P': 20.9372}
BESS,NAME,BESS5,UPDATE,6.066666667,0,{'P': 5.0628}
GEN,NAME,GEN1,UPDATE,8,0,{'P': 30.2399}
BESS,NAME,BESS5,UPDATE,8.05,0,{'P': -4.2399}
BRN,NAME,BRN5_6,ON,10,0,{}
LOAD,NAME,LOAD5C,ON,10.01666667,0,{}
GEN,NAME,GEN1,UPDATE,10.03333333,0,{'P': 37.9711}
BESS,NAME,BESS5,UPDATE,10.03333333,0,{'P': 3.0289}
LOAD,NAME,LOAD5B,ON,12,0,{}
GEN,NAME,GEN1,UPDATE,12.01666667,0,{'P': 46.0166}
BESS,NAME,BESS5,UPDATE,12.03333333,0,{'P': 6.9834}
TRN,NAME,TWTF3_6,ON,14,0,{}
GEN,NAME,GEN1,UPDATE,14.01666667,0,{'P': 55.3194}
BESS,NAME,BESS5,UPDATE,14.03333333,0,{'P': -2.3194}
GEN,NAME,GEN3,ON,16,0,{}
GEN,NAME,GEN1,UPDATE,16.01666667,0,{'P': 64.2198}
BESS,NAME,BESS5,UPDATE,16.03333333,0,{'P': -7.3798}
BRN,NAME,BRN6_7,ON,18,0,{}
GEN,NAME,GEN1,UPDATE,18.01666667,0,{'P': 73.5225}
BESS,NAME,BESS5,UPDATE,18.03333333,0,{'P': -16.6825}
LOAD,NAME,LOAD7A,ON,20,0,{}
GEN,NAME,GEN1,UPDATE,20.01666667,0,{'P': 81.0707}
BESS,NAME,BESS5,UPDATE,20.05,0,{'P': -8.2307}
BRN,NAME,BRN7_8,ON,22,0,{}
LOAD,NAME,LOAD7B,ON,22.01666667,0,{}
GEN,NAME,GEN1,UPDATE,22.03333333,0,{'P': 88.6853}
BESS,NAME,BESS5,UPDATE,22.03333333,0,{'P': -0.84525}
LOAD,NAME,LOAD8D,ON,24,0,{}
GEN,NAME,GEN1,UPDATE,24.01666667,0,{'P': 96.7308}
BESS,NAME,BESS5,UPDATE,24.03333333,0,{'P': 3.1092}
TRN,NAME,TWTF2_8,ON,26,0,{}
GEN,NAME,GEN1,UPDATE,26.01666667,0,{'P': 105.7947}
BESS,NAME,BESS5,UPDATE,26.05,0,{'P': -5.9547}
LOAD,NAME,LOAD8B,ON,28,0,{}
GEN,NAME,GEN2,ON,28.01666667,0,{}
GEN,NAME,GEN1,UPDATE,28.03333333,0,{'P': 112.2883}
BESS,NAME,BESS5,UPDATE,28.03333333,0,{'P': 10.1517}
BRN,NAME,BRN4_9,ON,30,0,{}
GEN,NAME,GEN1,UPDATE,30.01666667,0,{'P': 121.591}
BESS,NAME,BESS5,UPDATE,30.03333333,0,{'P': 0.84897}
LOAD,NAME,LOAD9A,ON,32,0,{}
GEN,NAME,GEN1,UPDATE,32.01666667,0,{'P': 128.8303}
BESS,NAME,BESS5,UPDATE,32.05,0,{'P': 8.6097}
BRN,NAME,BRN8_9,ON,34,0,{}
LOAD,NAME,LOAD9C,ON,34.01666667,0,{}
BESS,NAME,BESS5,UPDATE,34.01666667,0,{'P': 10.4774}
GEN,NAME,GEN1,UPDATE,34.03333333,0,{'P': 136.9626}
GEN,NAME,GEN1,UPDATE,36,0,{'P': 146.2653}
BESS,NAME,BESS5,UPDATE,36.03333333,0,{'P': 1.1747}
LOAD,NAME,LOAD5A,ON,38,0,{}
GEN,NAME,GEN1,UPDATE,38.01666667,0,{'P': 154.8346}
BESS,NAME,BESS5,UPDATE,38.03333333,0,{'P': -0.39464}
LOAD,NAME,LOAD4C,ON,40,0,{}
GEN,NAME,GEN1,UPDATE,40.01666667,0,{'P': 162.8104}
BESS,NAME,BESS5,UPDATE,40.03333333,0,{'P': 1.6296}
LOAD,NAME,LOAD6A,ON,42,0,{}
GEN,NAME,GEN1,UPDATE,42.01666667,0,{'P': 171.0655}
BESS,NAME,BESS5,UPDATE,42.03333333,0,{'P': 3.3745}
LOAD,NAME,LOAD6B,ON,44,0,{}
GEN,NAME,GEN1,UPDATE,44.01666667,0,{'P': 179.3205}
BESS,NAME,BESS5,UPDATE,44.01666667,0,{'P': 5.1195}
GEN,NAME,GEN1,UPDATE,46,0,{'P': 188.6232}
BESS,NAME,BESS5,UPDATE,46.03333333,0,{'P': -4.1832}
LOAD,NAME,LOAD9D,ON,48,0,{}
GEN,NAME,GEN1,UPDATE,48.01666667,0,{'P': 196.2496}
BESS,NAME,BESS5,UPDATE,48.03333333,0,{'P': 4.1904}
LOAD,NAME,LOAD8C,ON,50,0,{}
GEN,NAME,GEN1,UPDATE,50.01666667,0,{'P': 203.8729}
BESS,NAME,BESS5,UPDATE,50.03333333,0,{'P': 5.5671}
LOAD,NAME,LOAD8A,ON,52,0,{}
GEN,NAME,GEN1,UPDATE,52.01666667,0,{'P': 212.8614}
BESS,NAME,BESS5,UPDATE,52.03333333,0,{'P': -0.42137}
LOAD,NAME,LOAD6C,ON,54,0,{}
GEN,NAME,GEN1,UPDATE,54.01666667,0,{'P': 221.1164}
BESS,NAME,BESS5,UPDATE,54.05,0,{'P': 1.3236}
LOAD,NAME,LOAD9B,ON,56,0,{}
GEN,NAME,GEN1,UPDATE,56.01666667,0,{'P': 219.5505}
GEN,NAME,GEN3,UPDATE,56.03333333,0,{'P': 6.4}
BESS,NAME,BESS5,UPDATE,56.05,0,{'P': -1.3505}
GEN,NAME,GEN1,UPDATE,58,0,{'P': 205.4}
GEN,NAME,GEN3,UPDATE,58.01666667,0,{'P': 19.2}
BESS,NAME,BESS5,UPDATE,58.03333333,0,{'P': 0}
GEN,NAME,GEN1,UPDATE,60,0,{'P': 192.6}
GEN,NAME,GEN3,UPDATE,60.01666667,0,{'P': 32}
GEN,NAME,GEN1,UPDATE,62,0,{'P': 179.8}
GEN,NAME,GEN3,UPDATE,62.01666667,0,{'P': 44.8}
GEN,NAME,GEN1,UPDATE,64,0,{'P': 186.2}
GEN,NAME,GEN3,UPDATE,64.01666667,0,{'P': 38.4}
GEN,NAME,GEN1,UPDATE,84,0,{'P': 173.4}
GEN,NAME,GEN3,UPDATE,84.01666667,0,{'P': 51.2}
GEN,NAME,GEN1,UPDATE,86,0,{'P': 160.6}
GEN,NAME,GEN3,UPDATE,86.01666667,0,{'P': 64}
GEN,NAME,GEN1,UPDATE,88,0,{'P': 119}
GEN,NAME,GEN2,UPDATE,88.01666667,0,{'P': 19.2}
GEN,NAME,GEN3,UPDATE,88.03333333,0,{'P': 76.8}
GEN,NAME,GEN1,UPDATE,90,0,{'P': 69.5}
GEN,NAME,GEN2,UPDATE,90.01666667,0,{'P': 55.9}
GEN,NAME,GEN3,UPDATE,90.03333333,0,{'P': 89.6}
GEN,NAME,GEN1,UPDATE,92,0,{'P': 74.2}
GEN,NAME,GEN2,UPDATE,92.01666667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,92.03333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,94,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,94.01666667,0,{'P': 76.8}
GEN,NAME,GEN1,UPDATE,96,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,96.01666667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,96.03333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,98,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,98.01666667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,98.03333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,100,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,100.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,100.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,102,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,102.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,102.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,104,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,104.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,104.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,106,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,106.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,106.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,108,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,108.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,108.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,110,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,110.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,110.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,112,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,112.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,112.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,114,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,114.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,114.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,116,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,116.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,116.0333333,0,{'P': 115.2}
GEN,NAME,GEN1,UPDATE,118,0,{'P': 35.8}
GEN,NAME,GEN2,UPDATE,118.0166667,0,{'P': 76.8}
GEN,NAME,GEN3,UPDATE,118.0333333,0,{'P': 102.4}
GEN,NAME,GEN1,UPDATE,120,0,{'P': 61.4}
GEN,NAME,GEN2,UPDATE,120.0166667,0,{'P': 38.4}
GEN,NAME,GEN3,UPDATE,120.0333333,0,{'P': 115.2}
